Health Status,Computer Name,Operating System,IPv4 Addresses,IPv6 Addresses,Last User,Groups,Last Active,InterceptX,Endpoint
Healthy,SCHCMP01,WIN10,10.150.71.19,fe80::c1a5:3152:bc41:2725,jquintanilla,,"Jan 19, 2021 1:17 PM",assigned,assigned
Healthy,ORTEXAM004,WIN7,10.150.20.53,,bhawkins,,"Jan 19, 2021 1:17 PM",assigned,assigned
Healthy,PEDCMP02,WIN10,10.150.79.20,fe80::4890:737f:2e63:5cd3,nawilliams,,"Jan 19, 2021 1:14 PM",assigned,assigned
Healthy,MSCCMP02,WIN10,10.150.73.56,,sclinic,,"Jan 19, 2021 1:13 PM",assigned,assigned
Healthy,CMP-IPEOPLE,WIN10,10.150.71.35,fe80::15b:98b3:fe74:a092,ipeople,,"Jan 19, 2021 1:13 PM",assigned,assigned
Healthy,SCCLPT02,WIN10,10.150.73.57,fe80::1038:c30c:1cb3:dc74,jpatton,,"Jan 19, 2021 1:11 PM",assigned,assigned
Healthy,CPCCMP02,WIN10,10.150.73.68,fe80::e132:8bff:53e2:1ce0,lestrada,,"Jan 19, 2021 1:11 PM",assigned,assigned
Healthy,SCCLPT01,WIN10,10.150.41.100,fe80::b174:fb62:f012:48e1,jhagen,,"Jan 19, 2021 1:08 PM",assigned,assigned
Healthy,LABBLD2447,WIN10,10.150.71.6,,tcranston,,"Jan 19, 2021 1:03 PM",assigned,assigned
Healthy,HIMCMP06,WIN10,10.150.20.19,fe80::d10:4384:fcb7:f8d6,racosta,,"Jan 19, 2021 1:03 PM",assigned,assigned
Critical,MSCCMP03,WIN10,10.150.73.67,,sclinic,,"Jan 19, 2021 1:03 PM",assigned,assigned
Healthy,FINCMP03,WIN10,10.150.71.114,fe80::f10f:d74e:364e:80ac,aluna,,"Jan 19, 2021 1:00 PM",assigned,assigned
Healthy,RADUSCL001,WIN10,10.150.20.25,fe80::e82f:68e9:e4d7:a0e4,amarr,,"Jan 19, 2021 12:57 PM",assigned,assigned
Healthy,LABOP11361,WIN10,10.150.71.30,,mramirez,,"Jan 19, 2021 12:50 PM",assigned,assigned
Healthy,CSFCMP02,WIN10,10.150.71.128,fe80::a871:a8dd:b19:7606,nximenez,,"Jan 19, 2021 12:47 PM",assigned,assigned
Healthy,HBOLPTDOC,WIN10,10.150.73.89,fe80::d947:9a03:13f8:f38,lprofenna,,"Jan 19, 2021 12:30 PM",assigned,assigned
Healthy,WSPLPT03,WIN10,192.168.2.21,fe80::dda2:f8e9:68be:ddef,mzuniga,,"Jan 19, 2021 11:53 AM",assigned,assigned
Healthy,CFMLPT01,WIN10,10.150.41.25,fe80::2145:9216:38d5:a066,kbreitsprecher,,"Jan 19, 2021 11:50 AM",assigned,assigned
Healthy,CSNLPT02,WIN10,10.150.41.73,fe80::41c0:9709:ff4e:d76b,aromero,,"Jan 19, 2021 10:57 AM",assigned,assigned
Healthy,ortclnt002,WIN7,10.150.71.24,,eperez,,"Jan 19, 2021 10:06 AM",assigned,assigned
Healthy,ESSLPT03,WIN10,10.150.201.105;172.20.10.8,2600:380:6030:e454:7416:e8d6:7ea8:48e7;2600:380:6030:e454:fdaa:872d:ba71:f306;fe80::3de9:7c29:617a:ae61;fe80::4e84:2f31:dde5:4549;fe80::fdaa:872d:ba71:f306,oflores,,"Jan 19, 2021 8:56 AM",assigned,assigned
Healthy,CFMLPT001,WIN7,10.150.41.79,,gaguilar,,"Jan 19, 2021 8:21 AM",assigned,assigned
Healthy,ORMCOW02,WIN10,10.150.41.59,fe80::81e4:9f57:d8f0:8795,msutti,,"Jan 19, 2021 8:16 AM",assigned,assigned
Healthy,OFFICEMGR1,WIN7,10.150.201.97;192.168.1.104,fe80::2bd2:d3bd:5a43:3e7d;fe80::cd71:3769:49d2:1433,nximenez,,"Jan 18, 2021 11:42 PM",assigned,assigned
Healthy,HITLPTMGR,WIN10,192.168.100.79,fe80::a409:1297:4269:c29e,sholcombe,,"Jan 18, 2021 6:12 PM",assigned,assigned
Healthy,CFHLPT01,WIN10,10.150.41.67,fe80::410e:4bfc:2933:bf9,hahernandez,,"Jan 18, 2021 4:31 PM",assigned,assigned
Healthy,NCCLPT01,WIN10,10.150.41.109,fe80::b9c3:c50f:3a10:14e6,khosek,,"Jan 18, 2021 4:31 PM",assigned,assigned
Healthy,CFPLAPT003,WIN7,10.150.41.30,,fleach,,"Jan 18, 2021 3:52 PM",assigned,assigned
Healthy,PHACMP02,WIN10,10.150.71.112,fe80::59a6:812:66b7:bcbf,efjones,,"Jan 18, 2021 3:48 PM",assigned,assigned
Healthy,ORTLPT08,WIN10,10.150.60.133,fe80::903d:5ad:9bed:e69f,Admin,,"Jan 18, 2021 3:43 PM",assigned,assigned
Healthy,REFCMP03,WIN10,10.150.77.50,fe80::34dd:3bf8:e968:614a,vpalacios,,"Jan 18, 2021 3:27 PM",assigned,assigned
Healthy,ESSCFOLPT,WIN10,10.150.41.46,fe80::ccc6:1f2f:5547:fc45,kklein,,"Jan 18, 2021 2:12 PM",assigned,assigned
Healthy,RESCOW01,WIN10,10.150.41.25,fe80::75c8:4cd:a9a7:e580,rtdept,,"Jan 18, 2021 10:18 AM",assigned,assigned
Critical,HHLPT05,WIN10,10.150.77.23,fe80::f577:aecc:fa48:b7a2,cthayer,,"Jan 18, 2021 8:13 AM",assigned,assigned
Healthy,CSHLPTDR,WIN10,10.150.201.82;192.168.1.114,2603:8081:4e01:3a89::697;2603:8081:4e01:3a89:48a3:bceb:afe0:654a;2603:8081:4e01:3a89:8482:fdf2:e6d:e19d;fe80::2ba2:57f2:bc4f:b7c5;fe80::8482:fdf2:e6d:e19d;fe80::cd33:2427:2484:d503,mhasan,,"Jan 17, 2021 4:44 PM",assigned,assigned
Critical,ortexam001,WIN7,10.150.20.13,,bhawkins,,"Jan 17, 2021 1:49 AM",assigned,assigned
Healthy,HITLPTSPARE5,WIN10,10.150.201.49;192.168.42.13,2001:5b0:2c48:76e8:5d65:1f43:dc0c:bfbe;2001:5b0:2c48:76e8:a0f9:2a29:538e:a43b;fe80::225b:cd3f:b60b:7fd9;fe80::2dcb:5581:c4b3:3259;fe80::a0f9:2a29:538e:a43b,vvick,,"Jan 16, 2021 5:51 PM",assigned,assigned
Healthy,consolata-lpt,WIN10,192.168.1.135,2603:8081:5c02:def0:2d11:d178:e3b5:4913;2603:8081:5c02:def0:78ba:6e41:c82f:ecd8;fe80::2d11:d178:e3b5:4913,consolata,,"Jan 16, 2021 2:44 PM",assigned,assigned
Healthy,edmthin09,WIN7,10.150.20.45,fe80::a4c9:9b80:3060:80d6,ER,,"Jan 16, 2021 10:58 AM",assigned,assigned
Healthy,CCCLAPT005,WIN7,10.150.41.28,fe80::7c48:769f:d5c5:e999,mpalomo,,"Jan 15, 2021 2:44 PM",assigned,assigned
Healthy,CFHCMP05,WIN10,10.150.73.54,fe80::a8a9:580:dbb0:c619,vguerra,,"Jan 15, 2021 11:59 AM",assigned,assigned
Healthy,UCCLPT02,WIN10,10.150.41.46,fe80::b1ec:1352:8443:8b73,ebreiten,,"Jan 15, 2021 11:15 AM",assigned,assigned
Healthy,BARCMP05,WIN10,10.150.77.40,fe80::4ded:5c64:9cd4:54d1,yreyes,,"Jan 15, 2021 10:00 AM",assigned,assigned
Healthy,FINANALD01,WIN10,10.150.77.24,,yreyes,,"Jan 15, 2021 9:42 AM",assigned,assigned
Healthy,BARCMP07,WIN10,10.150.77.46,,yreyes,,"Jan 15, 2021 9:23 AM",assigned,assigned
Healthy,HITLPTSPARE1,WIN10,10.150.41.64,,jlaque,,"Jan 15, 2021 8:09 AM",assigned,assigned
Healthy,EDMCOW03,WIN10,10.150.41.46,fe80::c6f:e290:2bec:3434,ER,,"Jan 14, 2021 3:48 PM",assigned,assigned
Healthy,MDSCART005,WIN7,10.150.41.21,fe80::6cfe:a7c9:815c:658d,lvilla,,"Jan 14, 2021 3:04 PM",assigned,assigned
Healthy,LABCMP07,WIN10,10.150.71.45,fe80::380a:ea79:e5f8:401a,jlaque,,"Jan 14, 2021 1:53 PM",assigned,assigned
Healthy,UCCCMP08,WIN10,10.150.74.87,,mwilson,,"Jan 14, 2021 11:06 AM",assigned,assigned
Healthy,ClinicSpare,WIN7,10.150.74.232,,ahunter,,"Jan 14, 2021 10:49 AM",assigned,assigned
Healthy,ORMCOW01,WIN10,10.150.41.57,fe80::e96c:883f:c45f:26c9,msutti,,"Jan 14, 2021 12:33 AM",assigned,assigned
Healthy,MKTLPT02,WIN10,10.150.60.221,fe80::803b:fd98:4984:a8f,khogg,,"Jan 13, 2021 4:22 PM",assigned,assigned
Healthy,CSFLPT01,WIN10,10.150.41.25,fe80::a5b8:d78a:cbf4:1efb,ER,,"Jan 13, 2021 2:56 PM",assigned,assigned
Healthy,ADMCMP10,WIN10,10.150.71.49,fe80::6d22:ea86:5aa6:2fbc,thenry,,"Jan 13, 2021 8:39 AM",assigned,assigned
Healthy,CFMCLNT004,WIN10,10.150.79.25,,lhasette,,"Jan 12, 2021 2:46 PM",assigned,assigned
Healthy,ICULPT01,WIN10,10.150.41.111,fe80::34f5:8756:d8e6:48f3,msutti,,"Jan 11, 2021 7:12 PM",assigned,assigned
Healthy,PEDCMP07,WIN10,10.150.79.26,fe80::50e4:9d4f:7e22:7bec,bperez,,"Jan 11, 2021 8:28 AM",assigned,assigned
Healthy,ESSLPT02,WIN10,172.20.10.4,2600:380:7b46:ba07:7107:9a58:2077:5b9d;2600:380:7b46:ba07:b462:787d:552d:b6be;fe80::7107:9a58:2077:5b9d,asralla,,"Jan 7, 2021 8:35 PM",assigned,assigned
Healthy,MDSCMPCONF,WIN10,10.150.71.36,fe80::7ce9:f5bb:6efc:234e,ldixon,,"Jan 7, 2021 3:17 PM",assigned,assigned
Healthy,SCCCMP02,WIN10,10.150.41.35,fe80::3109:8039:b7d3:91aa,lestrada,,"Jan 7, 2021 11:05 AM",assigned,assigned
Healthy,CFELPT03,WIN10,10.150.41.67,fe80::65b5:58f8:874:69f0,kwiatrek,,"Jan 7, 2021 9:14 AM",assigned,assigned
Questionable,QATAB01,WIN10,10.150.41.44,fe80::4bc:9154:17f3:e36e,stackitt,,"Jan 2, 2021 9:26 PM",assigned,assigned
