Computer Alias,Action Required,OS,Last Connected,Group,Local Update Host
TCC-18-043.local.ecmh.org,-,Win10,Online,Default Group,N/A
TCC-18-067.local.ecmh.org,-,Win10,Online,Default Group,N/A
TCC-18-078.local.ecmh.org,-,Win7,Online,Default Group,N/A
TCC-19-1353,-,Win10,Online,Default Group,N/A
THERAPY-KASEY.local.ecmh.org,-,Win10,Online,Default Group,N/A
THERAPY-KATLYN.local.ecmh.org,-,Win10,Online,Default Group,N/A
Therapy-Lee.local.ecmh.org,-,Win10,5/26/2020,Default Group,N/A
THERAPY-SANDI.local.ecmh.org,-,Win10,5/19/2020,Default Group,N/A
TOVAR-LAPTOP.local.ecmh.org,Needs Restart,Win10,5/26/2020,Default Group,N/A
TTY275.PH.palacioshospital.net,-,Win10,5/14/2020,Default Group,N/A
TTY521,-,Win7,5/26/2020,Default Group,N/A
TTY527,-,Win7,Online,Default Group,N/A
TTY529,-,Win7,Online,Default Group,N/A
TTY533.PH.palacioshospital.net,-,Win7,5/19/2020,Default Group,N/A
TTY534,-,Win7,Online,Default Group,N/A
TTY537,-,Win7,Online,Default Group,N/A
TTY538,-,Win7,Online,Default Group,N/A
TTY553.PH.palacioshospital.net,-,Win8.1,Online,Default Group,N/A
TTY555,-,Win7,Online,Default Group,N/A
TTY556,-,Win7,5/18/2020,Default Group,N/A
TTY600.PH.palacioshospital.net,-,Win7,Online,Default Group,N/A
TTY605,-,Win7,5/26/2020,Default Group,N/A
TTY611.PH.palacioshospital.net,-,Win8.1,Online,Default Group,N/A
W-Clinic-CHarris.local.ecmh.org,-,Win10,5/5/2020,Default Group,N/A
W-RADIOLOGY.local.ecmh.org,-,Win10,Online,Default Group,N/A
WCJC-CLINIC.local.ecmh.org,-,Win10,3/6/2020,Default Group,N/A
Wharton-Lab,-,Win10,5/26/2020,Default Group,N/A
WHARTON-PC001.local.ecmh.org,-,Win10,4/17/2020,Default Group,N/A
WOUNDCARE-C2.local.ecmh.org,-,Win10,Online,Default Group,N/A
Yue-Office3,-,Win7,5/26/2020,Default Group,N/A
